Devices
1000
,,Plate force 1 - Moment,,
Frame,Sub Frame,Mx,My
,,N.mm,N.mm
86,1,6927.49,738.402
86,2,6928.99,741.5
86,3,6927.67,739.575
86,4,6915.62,741.234
86,5,6920.51,745.522
86,6,6905.82,740.969
86,7,6908.07,739.528
86,8,6902.05,740.546
86,9,6919.75,738.48
87,0,6916.55,753.02
87,1,6930.87,744.661
87,2,6928.23,736.257
87,3,6880.2,741.077
87,4,6913.16,741.265
87,5,6909.02,736.822
87,6,6917.68,744.693
87,7,6915.98,737.009
87,8,6905.62,743.942
87,9,6914.48,746.54
88,0,6905.62,742.283
88,1,6936.9,738.746
88,2,6905.24,749.67
88,3,6903.55,734.145
88,4,6883.77,735.162
88,5,6905.25,753.661
88,6,6890.55,737.838
88,7,6910.9,742.768
88,8,6913.73,741.719
88,9,6882.45,728.902
89,0,6918.06,744.521
89,1,6871.72,727.4
89,2,6898.1,736.148
89,3,6883.58,731.438
89,4,6904.12,734.864
89,5,6910.33,746.837
89,6,6870.02,733.582
89,7,6886.6,723.785
89,8,6867,728.526
89,9,6892.44,723.488
90,0,6902.05,714.222
90,1,6888.3,726.757
90,2,6880.2,719.982
90,3,6908.83,723.33
90,4,6874.74,728.197
90,5,6867.57,728.871
90,6,6894.14,726.805
90,7,6880,717.947
90,8,6870.03,718.51
90,9,6869.27,728.573
91,0,6850.24,722.924
91,1,6879.44,731.546
91,2,6881.32,725.709
91,3,6864.56,723.863
91,4,6868.89,727.024
91,5,6877.18,729.512
91,6,6880.38,723.971
91,7,6846.28,725.145
91,8,6865.5,726.617
91,9,6860.22,721.483
92,0,6851.93,733.315
92,1,6811.23,712.344
92,2,6837.05,722.392
92,3,6850.8,724.129
92,4,6846.09,713.049
92,5,6878.67,737.086
92,6,6837.98,723.862
92,7,6825.36,731.469
92,8,6845.34,712.486
92,9,6821.59,716.289
93,0,6810.11,732.345
93,1,6837.79,729.324
93,2,6837.61,724.395
93,3,6828,731.172
93,4,6833.09,711.922
93,5,6842.69,733.284
93,6,6831,719.074
93,7,6804.26,705.443
93,8,6832.32,733.957
93,9,6828.18,719.637
94,0,6824.79,709.997
94,1,6825.36,716.1
94,2,6793.52,724.88
94,3,6796.72,722.547
94,4,6817.63,722.814
94,5,6817.45,712.109
94,6,6806.14,710.529
94,7,6801.43,724.77
94,8,6811.79,718.4
94,9,6791.82,732.83
95,0,6825.17,722.736
95,1,6807.08,729.402
95,2,6785.6,714.896
95,3,6822.34,726.726
95,4,6802.76,727.634
95,5,6788.24,733.472
95,6,6793.34,718.213
95,7,6808.96,739.388
95,8,6805.57,723.596
95,9,6796.35,726.805
96,0,6751.89,724.175
96,1,6829.13,747.87
